Код товара	Группа товара
1019363	Мясо и мясные продукты
1033240	Мясо и мясные продукты
1133878	Мясо и мясные продукты
1133879	Мясо и мясные продукты
1135091	Мясо и мясные продукты
1212607	Мясо и мясные продукты
1110275	Мясо и мясные продукты
1212693	Мясо и мясные продукты
1172948	Мясо и мясные продукты
1217657	Мясо и мясные продукты
1183631	Мясо и мясные продукты
1183630	Мясо и мясные продукты
1202620	Мясо и мясные продукты
1183635	Мясо и мясные продукты
1183632	Мясо и мясные продукты
1195870	Яйца
1203359	Яйца
1031914	Яйца
1119534	Яйца
1204093	Яйца
1207811	Яйца
1108879	Яйца
1207564	Яйца
1136080	Яйца
1108881	Яйца
1195869	Яйца
1184981	Яйца
1136079	Яйца
1105437	Яйца
1094510	Яйца
1126938	Птица
1111279	Птица
1126933	Птица
1111275	Птица
1135331	Птица
1126931	Птица
1126934	Птица
1126937	Птица
1111276	Птица
1111280	Птица
1145891	Птица
1111272	Птица
1111274	Птица
1111278	Птица
1111273	Птица
1111282	Птица
1111277	Птица
1111283	Птица
1111287	Птица
1195449	Птица
1195453	Птица
1203386	Птица
1195990	Птица
1195455	Птица
1203387	Птица
1195456	Птица
1212920	Птица
1195991	Птица
1203384	Птица
1212901	Птица
1203385	Птица
1203381	Птица
1203382	Птица
1203379	Птица
1195450	Птица
1033415	Растительное масло
1035340	Растительное масло
1093517	Растительное масло
1003277	Растительное масло
1033416	Растительное масло
1194569	Растительное масло
1194508	Растительное масло
1099761	Растительное масло
1147532	Растительное масло
1177572	Растительное масло
1004902	Растительное масло
1206497	Растительное масло
1033390	Растительное масло
1033387	Растительное масло
1194568	Растительное масло
1033410	Растительное масло
1218314	Растительное масло
1033392	Растительное масло
1033389	Растительное масло
1095665	Растительное масло
1096325	Растительное масло
1176920	Растительное масло
1110826	Растительное масло
1103922	Растительное масло
1004905	Растительное масло
1179979	Растительное масло
1110827	Растительное масло
1017133	Какао, кофе
1180088	Какао, кофе
1094932	Какао, кофе
1035300	Какао, кофе
1148461	Какао, кофе
1017132	Какао, кофе
1152277	Какао, кофе
1190281	Какао, кофе
1032323	Какао, кофе
1035298	Какао, кофе
1035296	Какао, кофе
1033021	Какао, кофе
1032322	Какао, кофе
1190433	Какао, кофе
1035301	Какао, кофе
1212898	Какао, кофе
1041823	Какао, кофе
1212647	Какао, кофе
1208549	Какао, кофе
1033029	Какао, кофе
1207749	Какао, кофе
1033022	Какао, кофе
1106836	Какао, кофе
1044953	Какао, кофе
1216753	Какао, кофе
1106835	Какао, кофе
1008974	Какао, кофе
1010640	Какао, кофе
1035297	Какао, кофе
1203356	Какао, кофе
1100689	Кулинария
1101687	Кулинария
1002055	Кулинария
1100687	Кулинария
1205989	Кулинария
1205990	Кулинария
1205988	Кулинария
1189705	Кулинария
1205987	Кулинария
1106844	Кулинария
1214823	Кулинария
1133030	Кулинария
1013539	Кулинария
1106846	Кулинария
1002058	Кулинария
1189743	Кулинария
1100681	Кулинария
1102546	Кулинария
1011406	Кулинария
1106843	Кулинария
1013540	Кулинария
1109262	Кулинария
1109264	Кулинария
1214822	Кулинария
1034890	Кулинария
1100685	Кулинария
1205994	Кулинария
1205991	Кулинария
1106848	Кулинария
1140252	Кулинария
1031560	Зернопродукты
1004995	Зернопродукты
1111753	Зернопродукты
1123949	Зернопродукты
1082451	Зернопродукты
1095713	Зернопродукты
1031947	Зернопродукты
1053930	Зернопродукты
1031941	Зернопродукты
1123951	Зернопродукты
1123953	Зернопродукты
1045164	Зернопродукты
1191190	Зернопродукты
1108445	Зернопродукты
1098683	Зернопродукты
1005929	Зернопродукты
1201919	Зернопродукты
1174521	Зернопродукты
1104289	Зернопродукты
1002847	Зернопродукты
1181349	Зернопродукты
1028402	Зернопродукты
1028403	Зернопродукты
1158001	Зернопродукты
1028401	Зернопродукты
1155546	Зернопродукты
1045149	Зернопродукты
1188644	Зернопродукты
1151296	Зернопродукты
1108442	Зернопродукты
1109473	Зернопродукты
1102667	Зернопродукты
1171768	Зернопродукты
1010409	Зернопродукты
1035206	Чай
1031641	Чай
1020382	Чай
1001223	Чай
1005631	Чай
1009068	Чай
1031619	Чай
1205318	Чай
1031674	Чай
1096244	Чай
1028806	Чай
1128582	Чай
1031611	Чай
1035049	Чай
1007009	Чай
1001569	Чай
1001219	Чай
1205320	Чай
1211244	Чай
1035048	Чай
1007015	Чай
1018333	Чай
1001567	Чай
1028972	Чай
1211245	Чай
1211243	Чай
1144457	Чай
1029347	Чай
1175944	Чай
1111299	Замороженная продукция
1031303	Замороженная продукция
1002793	Замороженная продукция
1111293	Замороженная продукция
1011482	Замороженная продукция
1031302	Замороженная продукция
1011501	Замороженная продукция
1172323	Замороженная продукция
1183919	Замороженная продукция
1144474	Замороженная продукция
1035292	Замороженная продукция
1002222	Замороженная продукция
1183918	Замороженная продукция
1172325	Замороженная продукция
1203495	Замороженная продукция
1184039	Замороженная продукция
1012438	Замороженная продукция
1174452	Замороженная продукция
1184040	Замороженная продукция
1144704	Замороженная продукция
1145196	Замороженная продукция
1104619	Замороженная продукция
1011040	Замороженная продукция
1118125	Замороженная продукция
1002706	Замороженная продукция
1109795	Замороженная продукция
1206045	Замороженная продукция
1011030	Замороженная продукция
1144703	Замороженная продукция
1111296	Замороженная продукция
1119561	Замороженная продукция
1005676	Соусы
1168028	Соусы
1036425	Соусы
1020070	Соусы
1035324	Соусы
1036426	Соусы
1019604	Соусы
1018209	Соусы
1094291	Соусы
1000716	Соусы
1171693	Соусы
1204350	Соусы
1001386	Соусы
1125478	Соусы
1180349	Соусы
1168915	Соусы
1176186	Соусы
1021548	Соусы
1206118	Соусы
1215673	Соусы
1032454	Соусы
1106554	Соусы
1020069	Соусы
1190134	Соусы
1177754	Соусы
1017184	Соусы
1138156	Соусы
1107224	Соусы
1138155	Соусы
1021557	Соусы
1201795	Соусы
1198316	Соусы
1195344	Закуски
1195346	Закуски
1174978	Закуски
1025978	Закуски
1169319	Закуски
1122562	Закуски
1195345	Закуски
1169320	Закуски
1019889	Закуски
1036414	Закуски
1108545	Закуски
1182208	Закуски
1054022	Закуски
1191649	Закуски
1191648	Закуски
1000766	Закуски
1169316	Закуски
1036418	Закуски
1169619	Закуски
1205308	Закуски
1027725	Закуски
1169322	Закуски
1025977	Закуски
1048843	Закуски
1174784	Закуски
1169324	Закуски
1036413	Закуски
1205297	Закуски
1169317	Закуски
1186768	Закуски
1027720	Закуски
1155575	Закуски
1196638	Закуски
1099402	Приправы и специи
1032033	Приправы и специи
1099407	Приправы и специи
1177824	Приправы и специи
1035115	Приправы и специи
1146275	Приправы и специи
1124721	Приправы и специи
1183431	Приправы и специи
1099399	Приправы и специи
1017811	Приправы и специи
1102169	Приправы и специи
1175960	Приправы и специи
1181552	Приправы и специи
1183430	Приправы и специи
1163531	Приправы и специи
1096121	Приправы и специи
1055760	Приправы и специи
1085617	Приправы и специи
1133254	Приправы и специи
1055767	Приправы и специи
1068656	Приправы и специи
1099398	Приправы и специи
1055763	Приправы и специи
1211158	Приправы и специи
1168529	Приправы и специи
1102170	Приправы и специи
1190436	Приправы и специи
1096122	Приправы и специи
1213586	Приправы и специи
1111491	Приправы и специи
1055768	Приправы и специи
1108020	Колбасные изделия
1129020	Колбасные изделия
1028774	Колбасные изделия
1011640	Колбасные изделия
1098952	Колбасные изделия
1094547	Колбасные изделия
1011634	Колбасные изделия
1099713	Колбасные изделия
1011639	Колбасные изделия
1095455	Колбасные изделия
1095892	Колбасные изделия
1184861	Колбасные изделия
1127313	Колбасные изделия
1191938	Колбасные изделия
1111379	Колбасные изделия
1126411	Колбасные изделия
1191940	Колбасные изделия
1197081	Колбасные изделия
1096178	Колбасные изделия
1099718	Колбасные изделия
1184860	Колбасные изделия
1108629	Колбасные изделия
1197082	Колбасные изделия
1110479	Колбасные изделия
1095886	Колбасные изделия
1110481	Колбасные изделия
1210913	Колбасные изделия
1095331	Колбасные изделия
1190183	Колбасные изделия
1166407	Колбасные изделия
1191939	Колбасные изделия
1167880	Колбасные изделия
1197977	Колбасные изделия
1012009	Консервы
1032174	Консервы
1035234	Консервы
1016864	Консервы
1033181	Консервы
1128606	Консервы
1182499	Консервы
1169696	Консервы
1035313	Консервы
1111586	Консервы
1110332	Консервы
1136331	Консервы
1169697	Консервы
1031442	Консервы
1004925	Консервы
1067122	Консервы
1019404	Консервы
1110333	Консервы
1094311	Консервы
1142811	Консервы
1145636	Консервы
1001393	Консервы
1098523	Консервы
1075146	Консервы
1031438	Консервы
1210942	Консервы
1095614	Консервы
1095612	Консервы
1138171	Консервы
1099094	Консервы
1094367	Консервы
1155858	Консервы
1095091	Рыбная продукция
1168482	Рыбная продукция
1013538	Рыбная продукция
1183413	Рыбная продукция
1160146	Рыбная продукция
1201251	Рыбная продукция
1152141	Рыбная продукция
1123791	Рыбная продукция
1001865	Рыбная продукция
1001738	Рыбная продукция
1152138	Рыбная продукция
1001866	Рыбная продукция
1010995	Рыбная продукция
1184829	Рыбная продукция
1201250	Рыбная продукция
1163951	Рыбная продукция
1035057	Рыбная продукция
1028952	Рыбная продукция
1163952	Рыбная продукция
1094283	Рыбная продукция
1034980	Рыбная продукция
1190053	Рыбная продукция
1126850	Рыбная продукция
1183414	Рыбная продукция
1012884	Рыбная продукция
1111482	Рыбная продукция
1028943	Рыбная продукция
1160144	Рыбная продукция
1131401	Рыбная продукция
1198915	Рыбная продукция
1137637	Рыбная продукция
1201179	Мучные кондитерские изделия
1201178	Мучные кондитерские изделия
1095409	Мучные кондитерские изделия
1201180	Мучные кондитерские изделия
1127239	Мучные кондитерские изделия
1196333	Мучные кондитерские изделия
1095644	Мучные кондитерские изделия
1139944	Мучные кондитерские изделия
1035073	Мучные кондитерские изделия
1178430	Мучные кондитерские изделия
1031059	Мучные кондитерские изделия
1020522	Мучные кондитерские изделия
1020225	Мучные кондитерские изделия
1197667	Мучные кондитерские изделия
1111553	Мучные кондитерские изделия
1034187	Мучные кондитерские изделия
1027253	Мучные кондитерские изделия
1124319	Мучные кондитерские изделия
1100459	Мучные кондитерские изделия
1027251	Мучные кондитерские изделия
1034110	Мучные кондитерские изделия
1095307	Мучные кондитерские изделия
1082374	Мучные кондитерские изделия
1107882	Мучные кондитерские изделия
1178432	Мучные кондитерские изделия
1034102	Мучные кондитерские изделия
1184842	Мучные кондитерские изделия
1065681	Мучные кондитерские изделия
1032395	Мучные кондитерские изделия
1104375	Мучные кондитерские изделия
1106667	Мучные кондитерские изделия
1139943	Мучные кондитерские изделия
1180701	Мучные кондитерские изделия
1175136	Мучные кондитерские изделия
1035349	Напитки безалкогольные
1035188	Напитки безалкогольные
1094385	Напитки безалкогольные
1009447	Напитки безалкогольные
1035028	Напитки безалкогольные
1035165	Напитки безалкогольные
1094387	Напитки безалкогольные
1035162	Напитки безалкогольные
1191460	Напитки безалкогольные
1035026	Напитки безалкогольные
1035178	Напитки безалкогольные
1106183	Напитки безалкогольные
1000509	Напитки безалкогольные
1002278	Напитки безалкогольные
1198136	Напитки безалкогольные
1157394	Напитки безалкогольные
1018462	Напитки безалкогольные
1035027	Напитки безалкогольные
1008368	Напитки безалкогольные
1094382	Напитки безалкогольные
1000605	Напитки безалкогольные
1035444	Напитки безалкогольные
1124372	Напитки безалкогольные
1035443	Напитки безалкогольные
1102928	Напитки безалкогольные
1030787	Напитки безалкогольные
1031457	Напитки безалкогольные
1002891	Напитки безалкогольные
1107260	Напитки безалкогольные
1000606	Напитки безалкогольные
1065562	Напитки безалкогольные
1011498	Напитки безалкогольные
1026479	Напитки безалкогольные
1121076	Напитки безалкогольные
1030621	Напитки безалкогольные
1148230	Напитки безалкогольные
1002280	Напитки безалкогольные
1161484	Напитки безалкогольные
1148878	Напитки безалкогольные
1035441	Напитки безалкогольные
1204349	Напитки безалкогольные
1021717	Напитки безалкогольные
1106181	Напитки безалкогольные
1178178	Напитки безалкогольные
1109068	Хлеб, хлебобулочные изделия
1098624	Хлеб, хлебобулочные изделия
1130294	Хлеб, хлебобулочные изделия
1098622	Хлеб, хлебобулочные изделия
1105983	Хлеб, хлебобулочные изделия
1106266	Хлеб, хлебобулочные изделия
1130309	Хлеб, хлебобулочные изделия
1106394	Хлеб, хлебобулочные изделия
1201490	Хлеб, хлебобулочные изделия
1106265	Хлеб, хлебобулочные изделия
1031519	Хлеб, хлебобулочные изделия
1001012	Хлеб, хлебобулочные изделия
1106267	Хлеб, хлебобулочные изделия
1120545	Хлеб, хлебобулочные изделия
1031529	Хлеб, хлебобулочные изделия
1201463	Хлеб, хлебобулочные изделия
1171334	Хлеб, хлебобулочные изделия
1106270	Хлеб, хлебобулочные изделия
1098627	Хлеб, хлебобулочные изделия
1102563	Хлеб, хлебобулочные изделия
1099043	Хлеб, хлебобулочные изделия
1099044	Хлеб, хлебобулочные изделия
1201462	Хлеб, хлебобулочные изделия
1099045	Хлеб, хлебобулочные изделия
1099046	Хлеб, хлебобулочные изделия
1035194	Хлеб, хлебобулочные изделия
1099042	Хлеб, хлебобулочные изделия
1181348	Хлеб, хлебобулочные изделия
1098626	Хлеб, хлебобулочные изделия
1099041	Хлеб, хлебобулочные изделия
1109387	Хлеб, хлебобулочные изделия
1153189	Хлеб, хлебобулочные изделия
1033048	Хлеб, хлебобулочные изделия
1146281	Хлеб, хлебобулочные изделия
1099039	Хлеб, хлебобулочные изделия
1188122	Хлеб, хлебобулочные изделия
1202827	Сахарные кондитерские изделия
1037648	Сахарные кондитерские изделия
1035114	Сахарные кондитерские изделия
1213334	Сахарные кондитерские изделия
1035113	Сахарные кондитерские изделия
1003410	Сахарные кондитерские изделия
1032054	Сахарные кондитерские изделия
1202828	Сахарные кондитерские изделия
1010377	Сахарные кондитерские изделия
1001060	Сахарные кондитерские изделия
1083084	Сахарные кондитерские изделия
1032051	Сахарные кондитерские изделия
1206097	Сахарные кондитерские изделия
1035417	Сахарные кондитерские изделия
1156871	Сахарные кондитерские изделия
1215168	Сахарные кондитерские изделия
1002643	Сахарные кондитерские изделия
1010373	Сахарные кондитерские изделия
1031918	Сахарные кондитерские изделия
1213335	Сахарные кондитерские изделия
1032052	Сахарные кондитерские изделия
1025162	Сахарные кондитерские изделия
1031796	Сахарные кондитерские изделия
1031566	Сахарные кондитерские изделия
1189102	Сахарные кондитерские изделия
1014548	Сахарные кондитерские изделия
1013641	Сахарные кондитерские изделия
1033968	Сахарные кондитерские изделия
1010356	Сахарные кондитерские изделия
1042894	Сахарные кондитерские изделия
1127645	Сахарные кондитерские изделия
1197089	Сахарные кондитерские изделия
1035348	Сахарные кондитерские изделия
1115580	Сахарные кондитерские изделия
1205292	Сахарные кондитерские изделия
1096089	Сахарные кондитерские изделия
1189105	Сахарные кондитерские изделия
1114887	Сахарные кондитерские изделия
1197090	Сахарные кондитерские изделия
1126588	Молочные продукты
1110253	Молочные продукты
1122950	Молочные продукты
1031241	Молочные продукты
1095601	Молочные продукты
1160004	Молочные продукты
1126589	Молочные продукты
1003490	Молочные продукты
1042760	Молочные продукты
1035239	Молочные продукты
1035038	Молочные продукты
1179674	Молочные продукты
1095602	Молочные продукты
1165490	Молочные продукты
1038979	Молочные продукты
1111676	Молочные продукты
1034397	Молочные продукты
1000728	Молочные продукты
1111637	Молочные продукты
1035087	Молочные продукты
1044574	Молочные продукты
1189528	Молочные продукты
1127501	Молочные продукты
1099255	Молочные продукты
1111592	Молочные продукты
1007023	Молочные продукты
1114418	Молочные продукты
1043261	Молочные продукты
1035342	Молочные продукты
1038980	Молочные продукты
1002391	Молочные продукты
1144554	Молочные продукты
1111678	Молочные продукты
1034398	Молочные продукты
1111122	Молочные продукты
1111634	Молочные продукты
1030761	Молочные продукты
1111679	Молочные продукты
1008722	Молочные продукты
1038978	Молочные продукты
